interview_number,interview_date,interview_time,respondent_gender,respondent_age,respondent_class,respondent_home,number_alters,alter1_gender,alter1_age,alter1_class,alter1_home,alter1_howclose,alter1_howoften,alter2_gender,alter2_age,alter2_class,alter2_home,alter2_howclose,alter2_howoften,alter3_gender,alter3_age,alter3_class,alter3_home,alter3_howclose,alter3_howoften,alter4_gender,alter4_age,alter4_class,alter4_home,alter4_howclose,alter4_howoften,alter5_gender,alter5_age,alter5_class,alter5_home,alter5_howclose,alter5_howoften
3,2022-09-04,15:54:00,Female,19,Sophomore,Bay Area,6+,Female,21,Senior,Rest of United States,Close friend,More than once a week,Female,19,Sophomore,Bay Area,Close friend,More than once a week,Female,19,Sophomore,Bay Area,Close friend,More than once a week,Female,19,Junior,Rest of California,Close friend,More than once a week,Female,20,Junior,Bay Area,Close friend,More than once a week
1,2022-08-30,14:58:00,Female,22,Senior,Bay Area,5,Female,21,Senior,LA Area,Friend,More than once a week,Female,23,Other,Rest of World,Close friend,More than once a week,Female,22,Senior,Bay Area,Close friend,More than once a week,Female,20,Junior,Rest of United States,Close friend,More than once a week,Female,23,Other,LA Area,Close friend,More than once a week
2,2022-08-31,15:37:00,Male,20,Junior,LA Area,5,Female,22,Senior,Bay Area,Close friend,More than once a week,Male,45,Other,Rest of World,Close friend,Once a week,Female,47,Other,Rest of World,Close friend,More than once a week,Male,20,Junior,LA Area,Close friend,More than once a week,Male,20,Junior,LA Area,Close friend,More than once a week
3,2022-08-31,17:05:00,Female,21,Senior,LA Area,4,Female,21,Senior,Rest of United States,Close friend,More than once a week,Male,21,Other,LA Area,Close friend,More than once a week,Male,65,Other,LA Area,Close friend,More than once a week,Female,29,Other,LA Area,Close friend,More than once a week,NA,NA,NA,NA,NA,NA
1,2022-08-30,14:57:00,Female,20,Junior,Rest of California,5,Female,52,Other,Rest of California,Close friend,More than once a week,Male,53,Other,Rest of California,Close friend,More than once a week,Female,18,Freshman,Rest of California,Close friend,Once a week,Male,78,Other,Rest of California,Close friend,Once a month,Female,20,Junior,Rest of California,Close friend,Once a week
2,2022-09-01,21:08:00,Female,20,Junior,Bay Area,5,Female,20,Junior,Bay Area,Friend,Once a month,Male,20,Junior,Bay Area,Close friend,More than once a week,Male,20,Junior,Bay Area,Acquaintance,Once a year,Female,20,Junior,Rest of California,Friend,Once a month,Female,21,Senior,Bay Area,Friend,Once a month
3,2022-09-01,21:25:00,Male,20,Junior,Bay Area,5,Male,20,Junior,Rest of United States,Friend,More than once a week,Female,20,Junior,LA Area,Close friend,More than once a week,Female,20,Junior,Bay Area,Close friend,More than once a week,Female,20,Sophomore,Bay Area,Friend,Once a month,Female,20,Junior,Bay Area,Friend,Once a month
1,2022-08-30,14:55:00,Female,27,Senior,LA Area,6+,Female,27,Other,LA Area,Close friend,Once a week,Female,27,Other,LA Area,Close friend,Once a week,Female,33,Other,LA Area,Close friend,Once a week,Male,35,Other,LA Area,Close friend,Once a week,Female,21,Junior,Rest of World,Friend,Once a week
2,2022-09-04,23:00:00,Female,20,Junior,Rest of World,6+,Female,20,Junior,Rest of World,Close friend,More than once a week,Male,21,Junior,Rest of World,Close friend,More than once a week,Male,20,Junior,Rest of World,Close friend,More than once a week,Female,20,Junior,Rest of World,Close friend,More than once a week,Male,20,Junior,Rest of World,Close friend,More than once a week
3,2022-09-04,23:30:00,Male,20,Junior,Bay Area,5,Female,20,Junior,Bay Area,Close friend,Once a week,Male,20,Junior,Rest of United States,Close friend,More than once a week,Male,20,Junior,Bay Area,Close friend,More than once a week,Male,20,Junior,Bay Area,Close friend,More than once a week,Male,20,Junior,LA Area,Close friend,More than once a week
